ReviewId,SentenceId,Sentence,OpinionCategoryList,OpinionSubcategoryList,OpinionPolarityList
24,24:9,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,['LAPTOP'],['QUALITY'],['negative']
24,24:10,I did contact HP and share how unhappy I am.,[],[],[]
24,24:11,"Well, they don't care a bunch.",['SUPPORT'],['QUALITY'],['negative']
24,24:12,"But, at the same time they (the company) would not and could not do anything about my problem.",['SUPPORT'],['QUALITY'],['negative']
24,24:13,I would  say if you want to buy one of these machines be careful.,['LAPTOP'],['GENERAL'],['negative']
24,24:14,"And, if you are going to deal with HP be careful.",['COMPANY'],['GENERAL'],['negative']
24,24:15,"In my house, HP is a nasty word.",['COMPANY'],['GENERAL'],['negative']
277,277:0,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",['LAPTOP'],['GENERAL'],['positive']
277,277:1,The netbook is easier for me to take to bed and carry around with me.,['LAPTOP'],['PORTABILITY'],['positive']
277,277:2,"The screen takes some getting use to, because it is smaller than the laptop.","['DISPLAY', 'DISPLAY']","['USABILITY', 'DESIGN_FEATURES']","['neutral', 'neutral']"
277,277:3,I have not have any problems.,['LAPTOP'],['GENERAL'],['positive']
178,178:0,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",['LAPTOP'],['GENERAL'],['positive']
178,178:1,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,['LAPTOP'],['QUALITY'],['positive']
178,178:2,Its still going.,['LAPTOP'],['QUALITY'],['positive']
178,178:3,It is in the best condition and has a really high quality.,['LAPTOP'],['QUALITY'],['positive']
178,178:4,This is something i would deffinately reccomend to someone.,['LAPTOP'],['GENERAL'],['positive']
178,178:5,You will not regret buying such a great thing like this!,['LAPTOP'],['GENERAL'],['positive']
178,178:6,It can't get any better.,['LAPTOP'],['GENERAL'],['positive']
77,77:0,"Waited on getting this computer, but it has been a great change.",['LAPTOP'],['GENERAL'],['positive']
77,77:1,Ease of use is just one of the benefits I love about my Mac.,['LAPTOP'],['USABILITY'],['positive']
342,342:0,This laptop meets every expectation and Windows 7 is great!,"['LAPTOP', 'OS']","['GENERAL', 'GENERAL']","['positive', 'positive']"
342,342:1,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.","['LAPTOP', 'LAPTOP', 'LAPTOP']","['OPERATION_PERFORMANCE', 'USABILITY', 'CONNECTIVITY']","['positive', 'positive', 'positive']"
342,342:2,It's even easy to hook up to other wireless networks.,['LAPTOP'],['CONNECTIVITY'],['positive']
342,342:3,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,['BATTERY'],['OPERATION_PERFORMANCE'],['neutral']
342,342:4,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,['BATTERY'],['OPERATION_PERFORMANCE'],['positive']
348,348:0,"Most everything is fine with this machine: speed, capacity, build.","['LAPTOP', 'LAPTOP', 'HARD_DISC', 'LAPTOP']","['GENERAL', 'OPERATION_PERFORMANCE', 'DESIGN_FEATURES', 'QUALITY']","['positive', 'positive', 'positive', 'positive']"
348,348:1,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",['DISPLAY'],['QUALITY'],['negative']
348,348:2,"Yes, I have it on the highest available setting.",[],[],[]
347,347:0,I bought it for really cheap also and it's AMAZING.,"['LAPTOP', 'LAPTOP']","['PRICE', 'GENERAL']","['positive', 'positive']"
347,347:1,Easy to start up and does not overheat as much as other laptops.,[],[],[]
347,347:2,Recommended to people as their first laptop.,['LAPTOP'],['MISCELLANEOUS'],['positive']
339,339:0,"Plain and simple, it(laptop) runs great and loads fast.",['LAPTOP'],['OPERATION_PERFORMANCE'],['positive']
339,339:1,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.","['LAPTOP', 'LAPTOP']","['PORTABILITY', 'CONNECTIVITY']","['positive', 'positive']"
339,339:2,Love that it doesn't take up space like a regular computer.,[],[],[]
273,273:0,I'm already hooked on the sleek look and dependability that this laptop has shown.,"['LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'QUALITY']","['positive', 'positive']"
273,273:1,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",['OS'],['USABILITY'],['neutral']
273,273:2,The unibody design is edgy and durable.,"['LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'QUALITY']","['positive', 'positive']"
273,273:3,The LED backlit display makes my pictures pop so much more.,['DISPLAY'],['DESIGN_FEATURES'],['positive']
273,273:4,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,"['MOUSE', 'LAPTOP']","['DESIGN_FEATURES', 'USABILITY']","['positive', 'positive']"
273,273:5,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",[],[],[]
273,273:6,A key contributor that led me to Mac is the art aspect.,['LAPTOP'],['DESIGN_FEATURES'],['positive']
273,273:7,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,['SOFTWARE'],['MISCELLANEOUS'],['positive']
273,273:8,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,"['LAPTOP', 'LAPTOP']","['GENERAL', 'OPERATION_PERFORMANCE']","['positive', 'positive']"
273,273:9,It's more expensive but well worth it in the long run.,"['LAPTOP', 'LAPTOP']","['PRICE', 'GENERAL']","['negative', 'positive']"
240,240:0,"Great product, very easy to use and great graphics.","['LAPTOP', 'LAPTOP', 'GRAPHICS']","['GENERAL', 'USABILITY', 'GENERAL']","['positive', 'positive', 'positive']"
240,240:1,"One drawback, I wish the keys were backlit.",['KEYBOARD'],['DESIGN_FEATURES'],['negative']
240,240:2,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.","['LAPTOP', 'LAPTOP']","['GENERAL', 'PRICE']","['positive', 'neutral']"
243,243:0,It had most of the features and all of the power that I wanted to replace my desktop machine.,"['LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'OPERATION_PERFORMANCE']","['positive', 'positive']"
243,243:1,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,"['LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'PORTABILITY']","['neutral', 'positive']"
243,243:2,I'm very happy with this machine!,['LAPTOP'],['GENERAL'],['positive']
285,285:0,"I love the size, keyboard, the functions.","['LAPTOP', 'KEYBOARD', 'LAPTOP']","['DESIGN_FEATURES', 'GENERAL', 'OPERATION_PERFORMANCE']","['positive', 'positive', 'positive']"
285,285:1,I don't really have a complaint.,['LAPTOP'],['GENERAL'],['positive']
285,285:2,"It is easy to use, good quality and good price.","['LAPTOP', 'LAPTOP', 'LAPTOP']","['USABILITY', 'QUALITY', 'PRICE']","['positive', 'positive', 'positive']"
285,285:3,Perfect trifecta!,['LAPTOP'],['GENERAL'],['positive']
285,285:4,I would recommend this product.,['LAPTOP'],['GENERAL'],['positive']
212,212:0,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,"['SOFTWARE', 'LAPTOP']","['GENERAL', 'GENERAL']","['negative', 'negative']"
93,93:0,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,['SUPPORT'],['QUALITY'],['neutral']
93,93:1,I purchased this laptop 9 months ago!,[],[],[]
93,93:2,The DVD burner broke after burning 3 DVD'd during that time!,['OPTICAL_DRIVES'],['QUALITY'],['negative']
93,93:3,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,['SUPPORT'],['QUALITY'],['negative']
93,93:4,I am currently out of town and called to inform them the broken part would be returned when I got back in town.,[],[],[]
93,93:5,If this is an improvement in Customer Service then I would hate too see what it was before!,['SUPPORT'],['QUALITY'],['negative']
93,93:6,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,['SUPPORT'],['QUALITY'],['negative']
93,93:7,Needless to say I told them No and have a nice day and hung up!,['SUPPORT'],['QUALITY'],['negative']
93,93:8,I can guarantee this will be the last Dell I will ever purchase!,"['LAPTOP', 'COMPANY']","['GENERAL', 'GENERAL']","['negative', 'negative']"
93,93:9,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,"['LAPTOP', 'SUPPORT']","['QUALITY', 'QUALITY']","['negative', 'negative']"
93,93:10,I do not recommend this company or their products!!!!,['COMPANY'],['GENERAL'],['negative']
252,252:0,"So far, a great product.",['LAPTOP'],['GENERAL'],['positive']
252,252:1,"High price tag, however.",['LAPTOP'],['PRICE'],['negative']
252,252:2,Still trying to learn how to use it.,['LAPTOP'],['USABILITY'],['neutral']
19,19:0,it is the worst computer dell ever made.,['LAPTOP'],['GENERAL'],['negative']
19,19:1,it is hard to fix and makes it a hassle to own one.,"['LAPTOP', 'LAPTOP']","['QUALITY', 'GENERAL']","['negative', 'negative']"
19,19:2,breaks easily.,['LAPTOP'],['QUALITY'],['negative']
19,19:3,only good thing is the graphics quality.,['GRAPHICS'],['QUALITY'],['positive']
165,165:0,There are so many wonderful features and benefits to the new MacBook!,"['LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'GENERAL']","['positive', 'positive']"
165,165:1,The #1 reason that is always repeated.,[],[],[]
165,165:2,No Viruses!,['LAPTOP'],['QUALITY'],['positive']
165,165:3,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,"['LAPTOP', 'LAPTOP']","['OPERATION_PERFORMANCE', 'USABILITY']","['positive', 'positive']"
165,165:4,I am loyal to Apple.,['COMPANY'],['GENERAL'],['positive']
165,165:5,The Macbooks worth every penny.,[],[],[]
165,165:6,"They're easy, fun, powerful and will last a long time.",[],[],[]
165,165:7,"The great 18 month same as cash financing and Advance Protection Plan which includes accidents like spills ., which Apple doesn't offer, is why I bought my MacBook at Best Buy.",[],[],[]
165,165:8,I am very Happy!,['LAPTOP'],['GENERAL'],['positive']
111,111:0,This just keeps having it's hard drive replaced!,['HARD_DISC'],['QUALITY'],['negative']
111,111:1,Acer won't replace the laptop.,['SUPPORT'],['QUALITY'],['negative']
111,111:2,the manufacturer's warranty only covers replacement/repair of parts.,['WARRANTY'],['GENERAL'],['negative']
111,111:3,This thing is a lemon.,['LAPTOP'],['QUALITY'],['negative']
292,292:0,This MacBook is an outstanding product with great value.,['LAPTOP'],['GENERAL'],['positive']
292,292:1,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,"['LAPTOP', 'SUPPORT']","['USABILITY', 'QUALITY']","['positive', 'positive']"
292,292:2,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.","['BATTERY', 'LAPTOP']","['OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['positive', 'positive']"
292,292:3,It does run a little warm but that is a negligible concern.,['LAPTOP'],['QUALITY'],['neutral']
359,359:0,I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine!,[],[],[]
359,359:1,I have owned it only two months!,[],[],[]
359,359:2,I have had nothing but problems since the day I took it out of the box!,"['LAPTOP', 'LAPTOP']","['GENERAL', 'QUALITY']","['negative', 'negative']"
359,359:3,My first problem was with the pre-loaded Norton Firewall/Security program.,['SOFTWARE'],['GENERAL'],['negative']
359,359:4,It would not let me connect to my Wifi system where I lived.,['LAPTOP'],['CONNECTIVITY'],['negative']
359,359:5,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,['SUPPORT'],['QUALITY'],['negative']
359,359:6,"Then just the other day, my left ""mouse"" button snapped!",['MOUSE'],['QUALITY'],['negative']
359,359:7,"Being only 2 months old, I am not a happy camper!",['LAPTOP'],['QUALITY'],['negative']
359,359:8,Buyer Beware.,['LAPTOP'],['GENERAL'],['negative']
359,359:9,"this one, in my opinion, might be a lemon!",['LAPTOP'],['QUALITY'],['negative']
95,95:0,It rarely works and when it does it's incredibly slow.,"['LAPTOP', 'LAPTOP']","['QUALITY', 'OPERATION_PERFORMANCE']","['negative', 'negative']"
95,95:1,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,['LAPTOP'],['QUALITY'],['negative']
95,95:2,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",['LAPTOP'],['GENERAL'],['negative']
360,360:0,Like the price and operation.,"['LAPTOP', 'LAPTOP']","['PRICE', 'OPERATION_PERFORMANCE']","['positive', 'positive']"
360,360:1,"Some features arent friendly ( volume wheel, sound quality, etc.","['LAPTOP', 'MULTIMEDIA_DEVICES', 'MULTIMEDIA_DEVICES']","['USABILITY', 'USABILITY', 'QUALITY']","['negative', 'negative', 'negative']"
360,360:2,"But, for the cost this is a winner.","['LAPTOP', 'LAPTOP']","['GENERAL', 'PRICE']","['positive', 'neutral']"
66,66:0,I absolutely love my mac!,['LAPTOP'],['GENERAL'],['positive']
66,66:1,I can't imagine my life without it anymore!,['LAPTOP'],['GENERAL'],['positive']
66,66:2,It's perfect for everything and runs faster than an average pc!,[],[],[]
384,384:0,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,"['LAPTOP', 'PORTS']","['GENERAL', 'QUALITY']","['positive', 'negative']"
384,384:1,Apparently they are defective since they are not securely attached.,['PORTS'],['QUALITY'],['negative']
384,384:2,I can barely use any usb devices because they will not stay connected properly.,['LAPTOP'],['CONNECTIVITY'],['negative']
384,384:3,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,['SUPPORT'],['QUALITY'],['negative']
384,384:4,I think I might rather suffer for something that is simple to fix in my opinion.,['SUPPORT'],['QUALITY'],['negative']
54,54:0,I bought this laptop Was the worst Laptop I've ever bought.,['LAPTOP'],['GENERAL'],['negative']
54,54:1,I spent alot of money on this product and its been a nightmare.,"['LAPTOP', 'LAPTOP']","['PRICE', 'GENERAL']","['negative', 'negative']"
54,54:2,And having to deal with the company has been a even worse nightmare.,['SUPPORT'],['QUALITY'],['negative']
54,54:3,I sent it to them to fix in perfect condition but for what was wrong with it.,[],[],[]
54,54:4,They sent it back with a huge crack in it and it still didn't work.,['SUPPORT'],['QUALITY'],['negative']
54,54:5,And that was the fourth time ive sent it to them to get fixed.,['SUPPORT'],['QUALITY'],['negative']
54,54:6,Its been a year and am still waiting to see what there going to do about my laptop.,['SUPPORT'],['QUALITY'],['negative']
54,54:7,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,['COMPANY'],['GENERAL'],['negative']
176,176:0,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,['LAPTOP'],['GENERAL'],['positive']
176,176:1,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.","['DISPLAY', 'BATTERY']","['GENERAL', 'OPERATION_PERFORMANCE']","['positive', 'positive']"
176,176:2,"A little pricey but it is well, well worth it.","['LAPTOP', 'LAPTOP']","['PRICE', 'GENERAL']","['negative', 'positive']"
176,176:3,I've been a PC user and I just finally switched and I am never going back.,[],[],[]
176,176:4,It is amazing.,['LAPTOP'],['GENERAL'],['positive']
59,59:0,In the first moth of owning this computer its hardrive failed which had to be replaced.,['HARD_DISC'],['QUALITY'],['negative']
59,59:1,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,"['BATTERY', 'BATTERY']","['QUALITY', 'OPERATION_PERFORMANCE']","['negative', 'negative']"
59,59:2,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,"['POWER_SUPPLY', 'POWER_SUPPLY', 'HARDWARE']","['QUALITY', 'OPERATION_PERFORMANCE', 'QUALITY']","['negative', 'negative', 'negative']"
59,59:3,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,"['LAPTOP', 'LAPTOP']","['GENERAL', 'QUALITY']","['negative', 'negative']"
170,170:0,Has a 5-6 hour battery life.,['BATTERY'],['OPERATION_PERFORMANCE'],['positive']
170,170:1,Much faster than my old windows laptop that died on me.,[],[],[]
170,170:2,It is easy to use and lightweight.,"['LAPTOP', 'LAPTOP']","['USABILITY', 'DESIGN_FEATURES']","['positive', 'positive']"
170,170:3,Was very much worth the price i paid.,"['LAPTOP', 'LAPTOP']","['GENERAL', 'PRICE']","['positive', 'positive']"
90,90:0,This netbook went bad on me after 3 days.,['LAPTOP'],['QUALITY'],['negative']
90,90:1,There is a blank lighted screen when I start and that is all.,['DISPLAY'],['OPERATION_PERFORMANCE'],['negative']
90,90:2,I am also upset with CR for giving a good rating.,[],[],[]
220,220:0,I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,[],[],[]
220,220:1,"Three weeks after I bought the netbook, the screen quit working.","['DISPLAY', 'DISPLAY']","['QUALITY', 'OPERATION_PERFORMANCE']","['negative', 'negative']"
220,220:2,I baby my electronics so I know for a fact it was defective and not anything that I did to it.,['DISPLAY'],['QUALITY'],['negative']
220,220:3,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.","['LAPTOP', 'LAPTOP', 'BATTERY']","['QUALITY', 'OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['negative', 'negative', 'positive']"
278,278:0,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,"['LAPTOP', 'LAPTOP', 'LAPTOP']","['PORTABILITY', 'DESIGN_FEATURES', 'GENERAL']","['positive', 'positive', 'positive']"
278,278:1,To my mind much more usable than the toy called an IPad.,[],[],[]
135,135:0,The So called laptop Runs to Slow and I hate it!,"['LAPTOP', 'LAPTOP']","['OPERATION_PERFORMANCE', 'GENERAL']","['negative', 'negative']"
135,135:1,Do not  buy it!,['LAPTOP'],['GENERAL'],['negative']
135,135:2,It is the worst laptop ever,['LAPTOP'],['GENERAL'],['negative']
159,159:0,"The image is great, and the soud is excelent.","['DISPLAY', 'MULTIMEDIA_DEVICES']","['QUALITY', 'QUALITY']","['positive', 'positive']"
159,159:1,i love ths notebook.,['LAPTOP'],['GENERAL'],['positive']
57,57:0,I love the glass touchpad.,['MOUSE'],['DESIGN_FEATURES'],['positive']
57,57:1,Easy learning curve.,['LAPTOP'],['USABILITY'],['positive']
57,57:2,Also the display is exceptional!,['DISPLAY'],['GENERAL'],['positive']
76,76:0,I have loved this since i took it out of the box.,['LAPTOP'],['GENERAL'],['positive']
76,76:1,The battery is really long.,['BATTERY'],['OPERATION_PERFORMANCE'],['positive']
76,76:2,"the features are great, the only thing it needs is better speakers.","['LAPTOP', 'MULTIMEDIA_DEVICES']","['DESIGN_FEATURES', 'GENERAL']","['positive', 'negative']"
28,28:0,Small and light weight.,['LAPTOP'],['DESIGN_FEATURES'],['positive']
28,28:1,Speakers too small to be of any real use.,"['MULTIMEDIA_DEVICES', 'MULTIMEDIA_DEVICES']","['DESIGN_FEATURES', 'USABILITY']","['negative', 'negative']"
28,28:2,Keyboard good sized and wasy to use.,"['KEYBOARD', 'KEYBOARD']","['DESIGN_FEATURES', 'USABILITY']","['positive', 'positive']"
28,28:3,I like it!,['LAPTOP'],['GENERAL'],['positive']
267,267:0,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,"['LAPTOP', 'LAPTOP', 'LAPTOP']","['GENERAL', 'DESIGN_FEATURES', 'PORTABILITY']","['positive', 'positive', 'positive']"
132,132:0,"Needless to say, not to happy with the product.",['LAPTOP'],['GENERAL'],['negative']
167,167:0,This is a great machine!,['LAPTOP'],['GENERAL'],['positive']
167,167:1,"The design is awesome, quality is unprecedented.","['LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'QUALITY']","['positive', 'positive']"
169,169:0,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.","['LAPTOP', 'LAPTOP', 'LAPTOP', 'LAPTOP']","['QUALITY', 'DESIGN_FEATURES', 'PRICE', 'OPERATION_PERFORMANCE']","['positive', 'positive', 'positive', 'positive']"
197,197:0,It is by far one of the greatest investments I have ever made.,['LAPTOP'],['GENERAL'],['positive']
284,284:0,Consumer Report recommended Toshiba.,[],[],[]
284,284:1,"Am very glad I bought it, great netbook, low price.","['LAPTOP', 'LAPTOP']","['GENERAL', 'PRICE']","['positive', 'positive']"
299,299:0,Very good quality and well made.,['LAPTOP'],['QUALITY'],['positive']
299,299:1,Great pick for portability and affordability.,"['LAPTOP', 'LAPTOP']","['PORTABILITY', 'PRICE']","['positive', 'positive']"
299,299:2,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,['LAPTOP'],['DESIGN_FEATURES'],['positive']
321,321:0,The only problem is a lack of screen resolutions!,"['DISPLAY', 'LAPTOP']","['QUALITY', 'GENERAL']","['negative', 'positive']"
325,325:0,"If you need an affordable, entry-level laptop, this will fit the bill.","['LAPTOP', 'LAPTOP']","['PRICE', 'MISCELLANEOUS']","['positive', 'positive']"
325,325:1,"I dislike the weight and size, cubersome.","['LAPTOP', 'LAPTOP']","['PORTABILITY', 'DESIGN_FEATURES']","['negative', 'negative']"
325,325:2,I dislike the quality and the placement of the speakers.,"['MULTIMEDIA_DEVICES', 'MULTIMEDIA_DEVICES']","['QUALITY', 'DESIGN_FEATURES']","['negative', 'negative']"
325,325:3,"Overall, it's ok.",['LAPTOP'],['GENERAL'],['neutral']
326,326:0,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",['LAPTOP'],['DESIGN_FEATURES'],['negative']
326,326:1,This laptop is very large and barely fits in any carrying cases.,"['LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'PORTABILITY']","['negative', 'negative']"
326,326:2,Peformance is good for the price.,"['LAPTOP', 'LAPTOP']","['OPERATION_PERFORMANCE', 'PRICE']","['positive', 'neutral']"
326,326:3,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.","['LAPTOP', 'LAPTOP']","['PORTABILITY', 'GENERAL']","['negative', 'positive']"
8,8:0,Had to have this computer repaired twice in the first 5 months after purchasing it.,['LAPTOP'],['QUALITY'],['negative']
8,8:1,Not good for a person who gets online daily.,['LAPTOP'],['MISCELLANEOUS'],['negative']
8,8:2,May be better for the occasional web surfer.,['LAPTOP'],['MISCELLANEOUS'],['neutral']
83,83:0,"I just got this laptop for college, and so far I am very happy with it.",['LAPTOP'],['GENERAL'],['positive']
83,83:1,I really wanted a Mac over a pc because I used a Mac in high school.,[],[],[]
83,83:2,It is so much easier to use,['LAPTOP'],['USABILITY'],['positive']
81,81:0,"Good keyboard, long battery life, largest hard drive and windows 7.","['KEYBOARD', 'BATTERY', 'HARD_DISC', 'OS']","['GENERAL', 'OPERATION_PERFORMANCE', 'DESIGN_FEATURES', 'GENERAL']","['positive', 'positive', 'positive', 'positive']"
81,81:1,And Toshiba is a quality supplier.,['COMPANY'],['GENERAL'],['positive']
80,80:0,I love this little one.,['LAPTOP'],['GENERAL'],['positive']
80,80:1,The keyboard has a wonderful nature feel.,['KEYBOARD'],['QUALITY'],['positive']
80,80:2,I like it better than my big Dell Laptop.,[],[],[]
80,80:3,Seriously considering a larger laptop to replace the Dell,[],[],[]
44,44:0,great battery life.,['BATTERY'],['OPERATION_PERFORMANCE'],['positive']
44,44:1,Keyboard is reasonable size.,['KEYBOARD'],['DESIGN_FEATURES'],['positive']
44,44:2,Small screen somewhat limiting but great for travel.,"['DISPLAY', 'LAPTOP']","['DESIGN_FEATURES', 'PORTABILITY']","['negative', 'positive']"
44,44:3,Charger seems large for this class of computer.,['POWER_SUPPLY'],['DESIGN_FEATURES'],['negative']
200,200:0,"Great Laptop for the price, works well with action pack games.","['LAPTOP', 'LAPTOP', 'LAPTOP']","['GENERAL', 'PRICE', 'MISCELLANEOUS']","['positive', 'neutral', 'positive']"
200,200:1,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.","['KEYBOARD', 'KEYBOARD']","['DESIGN_FEATURES', 'USABILITY']","['negative', 'negative']"
200,200:2,but other then that I would give this product a 4 in hafe stars.,['LAPTOP'],['GENERAL'],['positive']
206,206:0,Good for every day computing and web browsing.,['LAPTOP'],['MISCELLANEOUS'],['positive']
177,177:0,A great computer for light home use and business use.,['LAPTOP'],['MISCELLANEOUS'],['positive']
177,177:1,Might not make the avid gamer happy but I don't really think that is what this computer is designed for.,['LAPTOP'],['MISCELLANEOUS'],['neutral']
177,177:2,"Crisp screen, great battery life, and plenty of storage.","['DISPLAY', 'BATTERY', 'HARD_DISC']","['QUALITY', 'OPERATION_PERFORMANCE', 'DESIGN_FEATURES']","['positive', 'positive', 'positive']"
177,177:3,Very happy.,['LAPTOP'],['GENERAL'],['positive']
276,276:0,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school.",[],[],[]
